name,about,category
SCAD Office - German University in Cairo,,College & University
Jobzella,Jobzella Egypt,Website
MitchDesigns,"Mitch Designs is a web design and development agency in Egypt which builds custom-made user experiences, Check us out at www.mitchdesigns.com.",Computers & Internet Website
Cantalop.com,"Cantalop.com is the 1st Search Engine for Jobs in Egypt, covering Egypt, UAE, KSA and the Middle East.
 
Enough Said and Happy Job Hunt!",Internet Company
ITWORX,ITWORX is a global IT Services firm providing Cloud-based and On-premise solutions to the world's leading organizations.,Software Company
Esseily,"Egyptian composer, music producer and singer

Official Site : www.Esseily.net

Official Twitter : www.Twitter.com/esseily

official Facebook :www.FB.com/Esseily.Fans",Musician/Band
Dormee,"We are a team of college students in the German University in Cairo, making this project as a startup for Google MAL competition.",Real Estate Service
Microsoft Advanced Technology Lab Cairo,,Software Company
Ahmed Rafat,"الصفحة الرسمية لـ مذيع الشارع أحمد رأفت
instagram: https://goo.gl/RYSMYb
Youtube: https://goo.gl/IWYHZf
twitter: https://goo.gl/2Hpd1N
E-mail: ahmedrafat12@hotmail.com",Public Figure
Graduation 2015,,College & University
IEEE GUC Student Branch,"IEEE German University in Cairo Student Branch.
""We come, We see, We upgrade.""
",Youth Organization
Caruso's American Cafe,Restaurant & Cafe,Restaurant
BuzzFeed Food,"Open for breakfast, lunch, dinner and all the snacks you require in between.

Want more A+ recipes? Sign up for our newsletter! 
http://bzfd.it/1sqRJ9J",Media/News Company
FC Bayern München,"حساب بايرن ميونيخ الرسمي
http://fcb.de/shop
https://twitter.com/FCBayernAR
instagram.com/fcbayern
youtube.com/fcbayern
plus.google.com/+fcbayern",Sports Team
Electrical Engineering World,"EEW - Electrical Engineering World is the worldwide community with members engaged in the electrical power industry. Mission // ENERGY & POWER FOR ALL!

",Education Website
Nintendo Switch,"Nintendo Switch is designed to go wherever you do, transforming from home console to portable system in a snap. So you get more time to play the games you love, however you like.",Video Game
GUC Materials Cloud,GUC Materials Cloud is a desktop application designed for GUC students to be able to download and access all their materials offline (Intranet - MET - EEE),Software
Egyptoon إيجيبتون,"الصفحة الرسمية لقناة إيجيبتون على يوتيوب
www.youtube.com/Egyptoon
https://twitter.com/egyptoon",Entertainment Website
Overheard at GUC,"You overhear plenty of ridiculous, hilarious, and strange conversations around campus. Listen carefully and submit them anonymously! As simple as that!",Community
"I am Programmer,I have no life.","Funny quotes, photos, videos about software engineers ;) hit like if you are a programmer :P",Computer Company
MBC2,MBC2 | HOME OF MOVIES,TV Channel
Roadtrip,"' She listened to her inner voices and never neglected them and they took her somewhere, somewhere full of things you'll witness here' 
Shahd ElHadidy.
",Publisher
Ritter Sport,Welcome to the official fan page for RITTER SPORT!,Candy Store
Mark Manson,Writing and not giving a fuck since 2007. ,Writer
Nawwar GUC,Nawwar aims at introducing a new way of learning to Egyptian students through animated videos and other services.,Education
Study in USA & Germany with ICCBD,"ICCBD  company specializing in international training and development based on extensive experience in training and development with the cooperation of our international partners in the USA and Germany. 
الدراسه فى أمريكا وألمانيا",Academic Camp
Outside .,,Magazine
Thoughts.,"هنخليك دايما مبسوط :""",Community
Craftacious,"مجموعة تطوعية تحمل شعار ""مدينة منكوبة تنهض بشبابها""
أكثر من اربعمئة شاب وشابة تصدروا لقضية الموصل.
#صوتك_ويا_صوتي_يصل
شكرآRNVDO",Jewelry/Watches
Mickey,"� الصفحة الرسمية و الوحيدة لقناة ميكي 
شاهدونا علي التردد ١١٢٥٧ افقي -نايل سات ",TV Channel
YandA Store - اول موقع للايشاربات فى مصر,www.yandastore.com / 011 13142371 - 010 10490555 -,E-commerce Website
StoryPost العربية,"ستوري بوست
قصص تستحق النشر 

StoryPost
Stories Worth Spreading

",News & Media Website
H&M,#HMOSCHINO launches in selected H&M stores and online 8 Nov 2018.,Clothing (Brand)
Dhafer L'Abidine - ظافر العابدين,Page Fan Officielle de Dhafer L'Abidine,Artist
Microsoft Developer,All the latest information on Microsoft Technologies from MS Egypt DX team.,Computer Company
Facebook for Developers,"Build, grow, and monetize your app with Facebook.
https://developers.facebook.com/",Product/Service
بيومي فؤاد - Bayoumi Fouad,"مواليد 16 يونيو,  خريج فنون جميلة قسم جرافيك سنة 1990, بحب كرة القدم جدا , و بحب التمثيل جدا خصوصا المسرح",Actor
CAIRO RUNNERS,"We run this town. 

",Amateur Sports Team
Research in Germany,"We inform you about research and funding opportunities, news and events in Germany. www.research-in-germany.org",Organization
MVMT,Website → www.mvmtwatch.co/shopmvmt,Jewelry/Watches
The Corner,"The Corner Mall brings together a collection of eateries, clinics, spa, and personal care to suit anyone's taste ",Coffee Shop
Anghami,"Anghami is the MENA’s largest music streaming app with millions of Arabic and International songs and it’s FREE!

!أنغامي هو أكبر تطبيق موسيقى مجاني  في الشرق الأوسط وشمال أفريقيا ",App Page
ذكرياتنا مع سبيستون,"اتركوا أحزانكم وهمومكم. .فنحن هنا جميعا أطفال
نسافر عبر عالمنا الخاص عالم سبيستون لنعيش لحظات البراءة والطفولة ^^",TV Network
وين ايامك يا سبيس تون,"صفـــــــحة الذكــريات والايام الجميلــــة 
youtube.com/c/spacetoondays1
twitter.com/spacetoonDays

",TV Show
AFD Movies,"Allied Film Distributors (AFD) is the only distributor of Sony Pictures, Columbia Pictures and Walt Disney Films in Egypt.
",Movie/Television Studio
UMP Movie Guide,United Motion Pictures. Sole distributor of Warner Bros & 20th Century Fox in Egypt. http://www.ump.com.eg Page Managed by | BSocial ,Movie
Cover design,"Your cover design 
نقدر نطبعلك اى صوره  انت بتحبها على جراب موبايلك كل الى عليك انك تبعتلنا الصورة و نوع تليفونك واحنا نعملهالك

",Shopping & Retail
Mobile Application Launchpad MAL,"A MCIT and Google program, in collaboration with Udacity that will help Egypt’s talent pool excel in mobile app development. ",Education
ÄDK- Ägyptisch-Deutsches Kulturzentrum,هو الشريك المعتمد لمعهد جوته بشمال إفريقيا والشرق الأوسط (فرع مدينة نصر و مصر الجديدة) .,Education
Red Square,"RED SQUARE manages all aspects of interactive advertising including communication with superior solutions that are supported by its network of strategic alliances in the industry, skilled sub-contractors and its pool of complimentary service providers.",Advertising Agency
Bouza Roll EG,"We are Bouza Roll.. We ""Freeze your own Roll"".. We make the finest thai ice-cream roll with your choice of Biscuits, Fresh Fruits, Chocolates and Oatmeal ",Food & Beverage Company
المنتخب الألماني لكرة القدم,"الصفحة الرسمية لمشجعي المنتخب الألماني لكرة القدم
",Sports Team
Raffaello,Welcome to the official page of Raffaello Middle East.  مرحبا بك في الصفحة الرسمية لرافايلّو الشرق الأوسط,Food & Beverage Company
SimPle Eve,"‏مجلة سيمبل, نسائية , رومانسية , اجتماعية , ثقافيه
http://www.simple-eve.com/ ",Magazine
Al Mohayesoon المهيسون,"الصفحة الرسمية لبرنامج المهيسون 
المهيسون برنامج ترفيهي ، كوميدي",TV Show
Cakes house,متميزون في صناعة  تورت الايس كريم والكيكات والمخبوزات والمشروبات جميع منتجاتنا تصنع من أعلي و أجود الخامات ونسعي دائما لنكون الأفضل .cakes house ,Ice Cream Shop
ديزني بالعربي,أول صفحة عربية تم انشاؤها على صفحات التواصل الاجتماعي للحديث عن إصدارات ديزني العربية.,Entertainment Website
