below,Youssef Ashraf shared Word Porn's post.,1641830899232981_1642439229172148,2018-04-15T08:17:27+0000
Time :'),below,1641830899232981_1642066835876054,2018-04-14T22:00:01+0000
below,Youssef Ashraf shared Word Porn's post.,1641830899232981_1637943249621746,2018-04-10T18:13:58+0000
below,Youssef Ashraf shared IdeaSpot's post.,1641830899232981_1629556523793752,2018-04-01T20:44:42+0000
Me awii 😂 😂,Youssef Ashraf shared Nerds Raging's post.,1641830899232981_1626473520768719,2018-03-29T15:38:44+0000
below,Youssef Ashraf shared Post'z's video.,1641830899232981_1626207387461999,2018-03-29T09:58:45+0000
below,Youssef Ashraf shared ‎أنا إنسان - I am a human‎'s video.,1641830899232981_1625600587522679,2018-03-28T17:23:04+0000
Morningg ☀ ☀,below,1641830899232981_1625193360896735,2018-03-28T07:36:32+0000
below,Youssef Ashraf shared ‎Sky News Arabia سكاي نيوز عربية‎'s video.,1641830899232981_1624738124275592,2018-03-27T19:29:58+0000
Tesba7o 3la 5eer ☺️☺️,Youssef Ashraf shared Post'z's photo.,1641830899232981_1623874031028668,2018-03-26T22:30:07+0000
below,Youssef Ashraf shared People's Awakening's post.,1641830899232981_1617256861690385,2018-03-20T08:00:47+0000
below,Youssef Ashraf shared Nostalgia's video.,1641830899232981_1615255978557140,2018-03-18T09:04:17+0000
below,Youssef Ashraf shared Anarcho-Communism's post.,1641830899232981_1613358372080234,2018-03-16T15:29:09+0000
Expect the unexpected 👌,Youssef Ashraf shared a memory.,1641830899232981_1606561469426591,2018-03-10T07:04:40+0000
below,Youssef Ashraf shared No one saves you's post.,1641830899232981_1604046659678072,2018-03-07T21:38:15+0000
empty,below,1641830899232981_1599344086814996,2018-03-03T15:59:23+0000
below,Youssef Ashraf shared Simpleton's post.,1641830899232981_1598351206914284,2018-03-02T16:45:12+0000
😍😍😍,Youssef Ashraf shared IdeaSpot's post.,1641830899232981_1593087027440702,2018-02-25T12:25:12+0000
below,Youssef Ashraf shared a link.,1641830899232981_1591973137552091,2018-02-24T10:10:38+0000
below,Youssef Ashraf shared Rollercoaster's post.,1641830899232981_1590587644357307,2018-02-22T22:21:54+0000
below,Youssef Ashraf shared Gold Memories's video.,1641830899232981_1589090634507008,2018-02-21T10:22:20+0000
below,Youssef Ashraf shared orsozox page's post.,1641830899232981_1588282871254451,2018-02-20T13:02:10+0000
below,Youssef Ashraf shared The Fairly OddParents's video.,1641830899232981_1585629114853160,2018-02-17T20:10:56+0000
below,Youssef Ashraf shared a link.,1641830899232981_1582559065160165,2018-02-14T17:30:00+0000
below,Youssef Ashraf shared Best Tweets's post.,1641830899232981_1581720691910669,2018-02-13T20:16:32+0000
HAHAHAHAHAH 😂😂,Youssef Ashraf shared Overthinking.'s post.,1641830899232981_1580449412037797,2018-02-12T12:05:37+0000
below,Youssef Ashraf shared 3am Thoughts's video.,1641830899232981_1579945835421488,2018-02-11T21:45:41+0000
All those people are clapping for you! Do you hear them?,Youssef Ashraf shared ‎أزرق - Blue‎'s video.,1641830899232981_1578690855546986,2018-02-10T14:55:03+0000
below,Youssef Ashraf shared Daniel Amos's post.,1641830899232981_1575564212526317,2018-02-07T06:20:42+0000
below,Youssef Ashraf shared My Bible's photo.,1641830899232981_1562810687135003,2018-01-24T14:41:47+0000
empty,below,1641830899232981_1562614727154599,2018-01-24T10:23:20+0000
expressive moot 😂😂😂,Youssef Ashraf shared Screenshot's post.,1641830899232981_1561782203904518,2018-01-23T13:16:25+0000
below,Youssef Ashraf shared Classic FM's video.,1641830899232981_1558865167529555,2018-01-20T14:17:56+0000
below,Youssef Ashraf shared Samy Irssak's post.,1641830899232981_1558752857540786,2018-01-20T11:41:51+0000
kids we were kids we stay..,Youssef Ashraf shared a memory.,1641830899232981_1556994097716662,2018-01-18T15:08:29+0000
below,Youssef Ashraf shared ‎BeBe House (بيت بيبي)‎'s video.,1641830899232981_1556984747717597,2018-01-18T14:56:33+0000
👏👏👏😍😍,Youssef Ashraf shared Who Rates?'s video.,1641830899232981_1550528751696530,2018-01-11T08:30:22+0000
ohhh ya tamateeemmmmmm happy pizzaaa😂😂🍅🍅🍅,Youssef Ashraf is with Silvana Ehab.,1641830899232981_1543464769069595,2018-01-04T07:27:59+0000
below,Youssef Ashraf shared My Bible's photo.,1641830899232981_1524820570934015,2017-12-14T18:15:12+0000
below,Youssef Ashraf shared ‎Libra - ليبرا‎'s video.,1641830899232981_1523537541062318,2017-12-13T08:45:15+0000
Meen haygeblyy wa7edddd 😍😍,Youssef Ashraf shared UNILAD's video.,1641830899232981_1521704461245626,2017-12-11T07:49:06+0000
below,Youssef Ashraf shared PhoTo ツ's post.,1641830899232981_1520729854676420,2017-12-10T07:31:13+0000
"I'd like to play a game NO family members. Everyone else, Be brave..
Pick a Santa, comment the number and check your inbox..
1🎅2🎅3🎅4🎅5🎅6🎅7🎅8🎅9🎅10🎅11🎅12🎅13🎅14🎅15🎅16🎅17🎅18🎅19🎅20🎅21🎅22🎅23🎅24🎅25🎅26🎅27🎅28🎅29🎅30",below,1641830899232981_1516870001729072,2017-12-06T16:58:45+0000
:* :*,below,1641830899232981_1513627342053338,2017-12-03T05:30:49+0000
andrewwwww XDD a5er soura 7waar :p :P,Youssef Ashraf is with Andrew Akram.,1641830899232981_1505567209526018,2017-11-25T06:13:03+0000
ياما جرح الورد ايادي حتى الجناينية 🎶,below,1641830899232981_1504324382983634,2017-11-23T18:59:33+0000
😂 😂 😂 CV material,Youssef Ashraf shared Word Porn's post.,1641830899232981_1503878693028203,2017-11-23T07:54:34+0000
below,Youssef Ashraf shared Those Bands That Save Livesღ's photo.,1641830899232981_1503066679776071,2017-11-22T12:25:55+0000
ayohaaa al mickeyyyyy👯‍♀️👯‍♀️,Youssef Ashraf is with Michael Adel.,1641830899232981_1501951126554293,2017-11-21T05:20:06+0000
below,Youssef Ashraf shared ‎Libra - ليبرا‎'s video.,1641830899232981_1500272410055498,2017-11-19T08:55:43+0000
hahahahah yes when no body gives a shit 😀😀,Youssef Ashraf shared Daily Quotes's post.,1641830899232981_1495100193906053,2017-11-13T15:48:56+0000
sthg to think about...,below,1641830899232981_1493912940691445,2017-11-12T07:46:39+0000
Amiraaaaaaa 💕💕💕,Youssef Ashraf is with Monica Georges Stephanos.,1641830899232981_1493870834028989,2017-11-12T06:39:52+0000
"borhamyyy :* :*
happy friendaversaryy ya waadd 😁😁",Youssef Ashraf is with Mina Ibrahim.,1641830899232981_1485959961486743,2017-11-03T09:12:02+0000
Show me what u got😂,below,1641830899232981_1483964185019654,2017-10-31T22:24:17+0000
Nice 👌,below,1641830899232981_1483629798386426,2017-10-31T13:50:03+0000
elyy mabtostorsh 3liaaa abadan 😂😂😂,Youssef Ashraf is with Madonna Rames.,1641830899232981_1482424131840326,2017-10-30T06:40:06+0000
thoughts anyone? xD,Youssef Ashraf shared IdeaSpot's post.,1641830899232981_1481098218639584,2017-10-28T18:35:44+0000
below,Youssef Ashraf shared Spiritual Man's post.,1641830899232981_1478134062269333,2017-10-25T09:55:23+0000
"It's quite sad that the people who are closest to you can get so used to you that they no longer see you as a fascinating being. Your wittiness and sense of humor and kindness and achievements and all that makes you who you are becomes unnoticed and not that you should be those things to be noticed, but sometimes you find yourself doubting your own goodness.Sometimes you're filled with your own insecurities and you lose track of what you're worth and what you deserve and it's good to have friends that remind you of what your essence is, where your true beauty exists. It really is disappointing to not have that constant support system because the closer you get to people, the more you see their details,flaws mixed with beauty. That on its own is a reason to be fascinated; for everyone's character adds something to the world. Point is if the people around you don't make you feel like you're worth being loved; then you're hanging out with the wrong crowd and if you're the wrong crowd, be nicer, it helps.
copied.",below,1641830899232981_1477214092361330,2017-10-24T09:10:50+0000
below,Youssef Ashraf shared GUC's Sarcasm Community's post.,1641830899232981_1477165252366214,2017-10-24T07:36:42+0000
"marinaaaaaaa (not the other name this time 😂😂)
happy friend-iversary ya a7laa wleyaa boomaaaa 💃💃
so glad i met you!",Youssef Ashraf is with Marina El Maraghy.,1641830899232981_1475406059208800,2017-10-22T05:27:05+0000
