name,about,category
Espitalia - الاسبتالية,شوية طب على قدّنا ومابنكتبش روشتات,Health & Wellness Website
Valeo,"Welcome to the official Facebook page of Valeo, one of the world's leading automotive suppliers.",Cars
Khargny خرجني,"Khargny helps you find places you’ll love, anywhere in Egypt.
خرجني هيساعدك تلاقي مكان جديد كل خروجه ",Advertising/Marketing
NTLeaders,مبادرة التعلم التكنولوجي هي منحة مجانية  من أجل تدريب وتأهيل الكوادر المصرية على أحدث مجالات التطبيقية العالمية في قطاع الاتصالات وتكنولوج,Community
Al Plateau - البلاتوه,"Plateau - بلاتوة

أحمد أمين - هو مغمور فى أوساط و يعامل معاملة فخمة فى 
أوساط أخرى، يشبه السواد الأعظم من الشباب المصرى. ",TV Show
The Verge,"The Verge covers life in the future.

www.theverge.com",Website
The Practical Dev,"A place for programmers to share ideas and help each other grow. All developers are welcome to submit stories, tutorials, questions, or anything worth discussing on dev.to.",Computer Company
Kareem Esmail,"A professional ICF certified Life Coach and Career Coach.
I'm here to help you and guide you to find your happiness and success. 
",Public Figure
عربي +AJ,+AJ عربي مجتمع من القصص التفاعلية، المؤثرة والملهمة التي نبنيها وننشرها معاً.,Media/News Company
Da7ee7 - الدحيح,"First Popular Science channel in the Arab World ! 
 الدحيح للعلوم والفلسفة عشان محدش ياخد عالأفة..
https://www.youtube.com/channel/UCqW7G8SmyeEeQYzLOk5tdSg",Fictional Character
Google Students,"Google news and updates, especially for students.",Website
GDG New Cairo,"GDG New Cairo [Google Developer Group - New Cairo] is a regional chapter located in New Cairo City, Egypt focused on spreading awareness about the latest technologies.",Community Organization
Samira Said,Middle Eastern Pop Artist / Winner of BBC Award & World Music Award as Best Selling Artist in the Middle East,Musician/Band
Escape Egypt,The most advanced Escape game experience in Egypt. ,Business Service
Adel Emam - عادل إمام,Adel Emam's Official Page ,Actor
His Highness Sheikh Mohammed bin Rashid Al Maktoum,His Highness Sheikh Mohammed is Vice President and Prime Minister of the UAE and Ruler of Dubai,Politician
Mohamed Samy’s Art,"Welcome to my art page
",Artist
Conut,,Restaurant
Auto Ceramic,,"Automotive, Aircraft & Boat"
IRIS Advertising,"IRIS is a digital design agency based in Cairo, Egypt. We specialise in responsive web design and front end development.

+2 010 06555723 / +2 010 24117788 / +2 02 23063022
www.iris-adv.com",Advertising Agency
Stats Royale,"Track your stats, see your upcoming chests, find the best decks in this Clash Royale fan created site.",Games/Toys
M Sensei,,Athlete
Raspberry PI EGYPT," The Raspberry Pi is a credit-card-sized single-board computer developed in the UK by the Raspberry Pi Foundation Represented in Egypt by (Grand Solutions) HOT LINE TO Buy:   01000 15 80 80 you can buy online: Log to www.GS.com.EG
",Electronics
Sharmoofers,"Sharmoofers is a project and its founders are Ahmed Bahaa,& Moe El-3rkan, We believe that music is the way to happiness..",Musician/Band
Gebhaly.com,"
NO MORE SHOPPING BARRIERS! Gebhaly is here to make your lives easier, providing you the fastest & most secure online shopping in Egypt",Shopping & Retail
Artificial Intelligence Memes for Artificially Intelligent Teens,"Democratizing AI, one meme at the time.",Community
MAGRABi,The Leading Eyewear Chain in the Middle East and North Africa - The Official Page,Design & Fashion
Kidicine,We bring general health knowledge to kids in an exciting childish way. ,Education
District 90,,Marketing Agency
StartEgypt - مصر تبدأ,"StartEgypt is an Egyptian startup initiative funded by the UK government, supported by International Finance Corporation (IFC), a member of the World Bank Group and powered by Flat6Labs to inspire, incubate and support Egyptian entrepreneurs",Community Organization
مروة ناجي Marwa Nagy,Marwa Nagy's Official Page,Musician/Band
Anwar Jibawi,Management: Shots Studios,Artist
Microsoft Store,"Microsoft’s retail store lets you experience and buy software, devices & hardware, direct from Microsoft, both in retail stores and online. ",Retail Company
سفاح الفات-Fat Slayer,"هافهمك ازاي تاكل  اللي بتحبه وازاي تخس.
هاقولك على افكار للاكل الصحي و التمارين غير تقليدية، 
هاشاركك تجربتي الشخصية ازاي خسرت 40 كيلو دهون
",Sports & Fitness Instruction
Comunitee,,Internet Company
أكله,"عندنا أكل الشوارع و كمان الأكل النضيف و عندنا طاسات جبنة سايحة بتتغمس برغيف ، اكل شوارع و اكل بيتي , عندنا مش هتعرف تنام خفيف ��",Egyptian Restaurant
302Labs,"302 Labs is a community hub in Cairo for early-stage startups, freelancers, students, and basically anyone who wants to finish their work. We are open 24/7!",Performance & Event Venue
"MIT Enterprise Forum, Pan Arab Region",An avid enabler of entrepreneurship and innovation targeting 21 countries of the Arab region. ,Nonprofit Organization
المحطة - El Ma7ata,,Workplace & Office
الهيرباوية,نضيف المرح إلى الغباء.,Magazine
PlanDela,"Tired with the boring traditional notebooks and the over priced adult coloring books ? We combined them both together and brought them to you. 
",Office Supplies
All guns,"Just for Fun.
We post All type of weapons, Guns, knives pictures!!
Like us !! ",Product/Service
VIP Auto Trading,AUTO TRADING  ,Cars
ستيف هارفي Ask Steve,"اول بيدج مترجمه لبرنامج العالمي ستيف هارفى AskSteve ستجد جميع الفيديوهات الكوميديه مترجمه 
 حصريه هنا فقط لا تنسى عمل لايك للصفحه ليصلك كل جديد 
",Public Figure
World Youth Forum,The World Youth Forum is a free platform bringing together youth from around the world together with the decision makers and different influential officials,Event
Culture Trip,,Media/News Company
Synergy Advertising,"We are a full service, integrated communications network, with 3 offices:  Advertising Agency and 2 Production Houses between Cairo and Dubai.",Advertising Agency
Rooster Teeth,"We make Red vs. Blue, Immersion, Achievement Hunter, RWBY, the Rooster Teeth Podcast, and much more.",Arts & Entertainment
Thug Life,,Performing Arts
علماء مصر Egypt Scholars Inc,مؤسسة تنموية مستقلة تسعى إلى إحداث طفرة علمية و نهضة تنموية شاملة في مصر و العالم العربي,Nonprofit Organization
Effect.tec,"for mobile service & accessories 
",Accessories
alaa eltonsy," 249, El sudan st., Lebanon sq., Mohandessin, Cairo, Egypt
 Mobile 00201001424239 _ 00201115511474
 Landline 00233020977 
E-mail: alaaeltonsy@hotma",Company
GO stores,GO stores is a automotive hub for your luxury ride.We have a wide range of products for your selection.We aim to provide the best quality products !,Cars
Wello Mobile Covers & More,We sell all mobile accessories with high quality and low prices .We deliver our product where ever you are. ,Accessories
EdVentures,EdVentures is Egypt and MENA's first Education Corporate Venture Capital that supports startups in the growth stage with funding and relevant resources.,Entrepreneur
Pet Society.,pets Related articles and videos stoires and pictures ,Community
Sherlocked Egypt,"A 60-minute, live game for 3-6 people. Go on a quest through time and space, solving puzzles, challenges and mysteries!",Escape Game Room
Arcadia Eg.,Egypt’s 1st Entrepreneurship Camp for Kids,Education
Ebda3  ابداع,"We're an organization that works on developing the ability and skills needed to perform the optimum way, releasing one's maximum creativity.",Community Center
StickTop,"We make decals & stickers that personalize your everyday belongings!
We #MakeItYours

For order send a message.
For business inquiries send an e-mail.
",Brand
El Garage,,Local Business
ZOTYE AUTO,,Cars
Escape Room Egypt,One of the best ways to spend 60 minutes with your friends and family! Escape Room coming all the way from UK to give you the real escape game experience!!,Escape Game Room
GDG Cairo,Google Developer Group - Cairo is one of the biggest technical communities in Egypt.,Community Organization
Conan O'Brien Presents: Team Coco,Official Conan O'Brien & CONAN on TBS Page ,TV Show
Awfar Market,"الهايبر ماركت بقى أونلاين مع أوفر ماركت اشتري دلوقتي من الهايبر ماركت اللي بتحبه في ٣ دقايق
www.awfarmarket.com",E-commerce Website
Crowdfunding Egypt,Crowd Funding Egypt aims to legalize crowd funding to support Egyptian Economy.,Community Organization
Betapitch Cairo,"Betapitch is a global competition run by Betahaus, the top coworking space in Berlin. Betapitch Cairo is organized by RiseUp for the Egyptian startups. ",Community
Fab," Best Mobile Accessories in Egypt case,cover screen,protector,charger,cable and bluetooth headset and speakers for iphone 6, iphone 6 plus, iphone 6s, iphone 6s plus,iphone 7, iphone 7 plus, samsung note 3, note 4, note 5, note 7, s7, s7 edge, s8, s8 plus",Mobile Phone Shop
The Greek Campus,"The GrEEK CAMPUS is Cairo’s first technology and innovation park in the heart of Cairo, offering state-of-the-art office spaces.",Business Service
Startup Scene,"They defy odds and champion change. #StartupScene is the story of the Middle East's fiercest entrepreneurs.

DUBAI. CAIRO. BEIRUT. AMMAN. DOHA. TUNIS. RIYADH. RABAT. TRIPOLI. BAGHDAD. DAMASCUS. KUWAIT CITY. MANAMA. ",Media/News Company
Aegon Targaryen,"King Jon Snow - born Aegon Targaryen - is the son of Lyanna Stark and Rhaegar Targaryen, the late Prince of Dragonstone.",TV Show
Game of Thrones,Watch full episodes on HBO GO: http://itsh.bo/ln3QZj Get HBO now: http://itsh.bo/N0t461,TV Show
Le Roof,,Fast Food Restaurant
Cairo Vape Club,The biggest online vape store in Egypt,Shopping & Retail
Anon Foodtrucks,نصمم و ننفذ جميع ديكورات المطاعم و عربات المتحركة و بارتشن المولات و المحلات الملابس بخامات مبتكرة و أسعار خالية و تصميمات تناسب سوق العمل ,Food & Beverage Company
Ebda3 - إبداع,"حاضنة أعمال غرفة صناعة تكنولوجيا المعلومات والإتصالات (إبداع - Ebda3)
أول حاضنة تكنولوجية متخصصة فى مجال الوسائط الرقمية Digital Media",Community
Zaytuna,تنمية المهارات الشخصية ,Consulting Agency
الزينون للسيارات,"لدينا جميع الطرق لتحسين و زياده إضائه السيارات عن خبره 15 سنه.
رجاء الاتصال للحجز على الرقم 01001213183",Cars
9GAG - بالعربي,°~ 9GAG - بالعربي ~°,Comedian
The Kiosk,Top noch gourmet burgers that will tease your taste buds. ,Restaurant
مرجع MARJ3,Marj3 is An Online Platform to Provide Information & Online Advising about Scholarships For People From The MENA Region.(www.marj3.com),Educational Consultant
AngelHack,"AngelHack ignites the passion of the world’s most vibrant community of code creators + change makers to invent the new and make change happen, together.",Business Service
Cairo Confessions,"A community that is filled with the bright, open minds of the Egyptian people, where you can anonymously get your problems heard and responded to.",Community Organization
The Printing Supernova,Dive in a world full of possibility. We will print whatever crosses your mind.,Retail Company
Game of Thrones - Official Arabic Page.,"الصفحة العربيٌة لمسلسل ""غيم أوف ثرونز""
أو صراع العروش",TV Show
Canvas GUC,"We are a group of aspiring entrepreneurs, with a common belief that the world is our playground. ",Community
IMAGINE S2E,IMAGINE (Marburg – GUC Innovation and Entrepreneurship),Education
BuzzFeed Animals,,Media/News Company
Brookelyn,"Comedian/Model

INSTAGRAM- missbrooke_lyn
SNAPCHAT- brrrrookelyn 
YOUTUBE- brookelyn
TWITTER- brrrookelyn


Queries: brookelyn@84world.com
",Public Figure
Marketing Misr,Social media marketing - Web design - Web development - SMS campaigns - E-mail Marketing campaigns - SEO - Radio campaigns - TV campaigns ,Advertising Agency
Marketing Jobs In Egypt,Marketing Jobs in Egypt helps Egyptian Marketers to Find Jobs in Egypt and Employers to Recruit Qualified Candidates.,Organization
O2Share,"O2share is a new car-pooling mobile app. That allows you to save your
expenses by sharing your ride with whom you find a suitable trip accompany",Transportation Service
Technology Innovation & Entrepreneurship Center (TIEC),"Through TIEC, the Egyptian government aims to drive innovation and entrepreneurship in ICT for the benefit of national economy. The top strategic aim for TIEC is to act as a world class hub, networking innovation and entrepreneurship entities and affiliat",Government Organization
The Marketing Corner,"A professional marketing agency that provides the highest standards of quality and efficiency where service, creativity, reliability, and integrity are the hallmarks of every aspect of our work. ",Advertising Agency
Apple Trademark,"مبيعات لمنتجات آبل استعمال  
Apple used computers
Mac Pro
mac book pro 
imac 

01023717555",Computer Company
EGbank,"TODAY’S BANK REFLECTS YESTERDAY’S HERITAGE AND EXPERIENCE
",Bank
AlMakinah,AlMakinah is a programming bootcamp that aims to produce production-tier software developers in a short amount of time.,Education
MENAbytes,"Tech, Digital Media & Startups from MENA.",Website
