GUC Annual Internship & Employment Fair 2018,"*This event is exclusive for GUC students/alumni/MBA only!

The GUC Annual Internship & Employment Fair will be taking place on Saturday April 21st & Sunday April 22nd 2018 at the GUC Campus – Convention Complex, this year the fair will host more than 100 exhibitor representing different sectors & industries. The internship & employment fair is organized by the SCAD – Student Career & Alumni Development office at the GUC.

Location: 

GUC Annual Internship & Employment Fair’18 will take place in the GUC Convention Complex (Examination Halls) at the south end of the GUC campus. For facilitation of students’ transportation on campus, there will be shuttle buses moving to the fair venue. GUC graduates attending the fair will have the chance to access the campus from gate 8 (tbc) and park in the available alumni parking spots.

Date & Time: 

Saturday, April 21st 2018 from 11:00 am to 12:45 pm & from 02:30 pm to 05:00 pm (timing tbc)
Sunday, April 22nd 2018 from 09:30 am to 12:45 pm & from 02:30 pm to 05:00 pm  (timing tbc)",unsure
GUC Startup Career Fair,"GUC Startup Career Fair

About the event:
The startup career fair is a recruitment event that aims at connecting startups and young entrepreneurial firms with GUC students and graduates. Participating startups will be offering a wide range of opportunities for GUC students such as (internships, freelancing, part time jobs, temporary jobs, summer jobs, etc.), in addition to full time opportunities for GUC graduates.
The Startup Career Fair is considered the first of its type in Egypt and the region; and is part of the GUC continuous efforts to serve the national economy and employment scene. The fair is organized by the GUC Student Career & Alumni Development – SCAD – Office, and sponsored by ariika, Benchmark Consultancy Egypt, Hitchhicker, Plantform, and Robusta, in addition to the participation of more than 35 startups.

Stay tuned for list of participants!

Date & Time:
Event entrance is exclusive for GUC students & graduates! 
Location: GUC Campus – Old Basketball Court
Date: Saturday 03/03/2018
Time: From 09:30 am till 03:30 pm
Graduates entrance gate: to be announced later

For more information:
Students & Graduates inquiries: scad@guc.edu.eg
Startups inquiries: corporates.scad@guc.edu.eg

#WHY_STARTUPS #SCAD_OFFICE #GUC_STARTUP_CAREER_FAIR",unsure
Freddy's SP ! ;),"Beanos el fel ma3adi share3 9 
 :) 
W el besoo el entoo 3ayzeeno (Semi-Formal ) hayeb2aa a7saan ;)

w law ay 7ad 3andoo 2y so2aal ye call us on
 01281331896 
01271386366
01222870723
;)
Please 7aawloo teego dah a5eer 3iidd milaad ;) <3",attending
Amir Hesham's Surprise  Party <:O))),"Surprise Party l Amir Hesham youm ell 5amiiiiiiiss El gy DA f Pomodorino At 6:30 o'clock Minimum Charge 60 

YOU HAVE TO COME !!

mahdsh y3mel maybe pleeassee ya2ema ahh ya2ema la2 :P 

THAANKK YOOUU",unsure
FAST & PRAY FOR EGYPT,"FAST & PRAY FOR EGYPT
صوم و صلاة من أجل مصر
دعوة لكل المصريين من كل الأديان للصوم و الصلاة من أجل مصر
لأن جميعنا يؤمن بأن الله وحده كلى الحكمة و الرحمة هو القادر على حل أى صراع أو مشاكل.
It is an open invitation for all EGYPTIANS from all Religions 
to pray and fast from Tuesday 11 till Thursday 13,October 2011. For EGYPT
As we all believe that ONLY GOD with all wisdom and mercy can solve all conflicts and problems.

“God, bring change, justice and peace to Egypt. Poverty and oppression is never your will. Things do need to change in Egypt. But let your hand Bring calm and patience and order and wisdom in the process. Resist those who would abuse this disorder and use it for their own ends. Focus the passions for change on mercy, boldness, courage, and calm resolve. Bring peace to Egypt. Preserve the lives of the innocent and the weak. Keep Egypt a safe haven in a world of terror. It will take a miracle, but you do miracles. AMEN…”",attending
The Graduation Night,"You're invited to share me a night to celebrate my graduation ...
Attend on time
Dress Semi formal
DJ George K
Cell: 012 7381725

Organized by: Moi et Toi
www.moi-ettoi.com",attending
Sara & Dina 's BiRtHdAy PaRtYyYy..!!! <3 <3,"Party Theme:  FORMAAL                     DRESS TO IMPRESS..!!<3 <3
NOOO MINIMIUM CHARGE  (u pay 4 wht u order)         
DJ .. DANCINGG..YOU CAN GET UR GIRLFRIEND//UR BOYFRIEND
FOR more infoo u can call me or inzagii at 0161155581 or 0104040539",attending
Lina's Birthday ! :),"As u know all that lina's birthday is comin up !
and we want to make her a surprise party :)
but we wont make it on the same day
so i hope u all come because if u came that will make her very happy
the location : i am still thinking where we can do it... ay 7d 3ndo ektr7 ?
ana fkrt f costa w benos ? ely 3nd shar3 ts3a
lw ay 7d 3ndo moshkla feh y2oly plzz
w el youm e7na momkn n3mlo 5amis aw arb3 ay 7ga 
Okaii Thats it ! :)",attending
Amr Diab in Porto Golf,"يقام حفل الصيف للفنان عمرو دياب بالساحل الشمالي في جولف بورتو مارينا يوم الجمعة الموافق 30 يوليو الحالي

سعر التذكرة العادية 150 جنيهاً 


***أماكن بيع تذاكر الحفل

    من اليوم مساءا سوف يتم بيع تذاكر الحفل فى الاماكن التالية


    فروع i2
    الاسكندرية :
    سان سيتفانو بلازا مول
    ميدان فيكتور عامنويل - سموحة


    القاهرة :
    ٥١ شارع الحجاز - بجوار المحكمة
    سيتي ستارز - الدور الاول امام سبينزي
    عمارات العبور - صلاح سالم
    شارع مكرم عبيد - تقاطع مع ابو داوود الظاهري - مدينة نصر
    ٦٣ شارع جامعة الدول العربية - المهندسين
    ٣ شارع وادي النيل - المهندسين
    شارع المنيل - بجوار بنك NSGB
    شارع ٩ - المعادي
    ٦٣ شارع مصدق - الدقي
    شارع شبرا - شبرا
    دايمون مول - ٦ اكتوبر




    فروع تشيلز:
    تشيلز - هليوبوليس
    تشيلز - التجمع الخامس - امام جامعة المستقبل meeting point
    تشيلز - ٦ اكتوبر - meeting point
    تشيلز - الجزيرة الزمالك - Nile City


    الساحل الشمالى :
    المشاية - بورتو مارينا
    جولف بورتو مارينا
    زهران الساحل الشمالى
    بوابة ٢- بورتو مارينا
    بوابة ٤ - بورتو مارينا
    بوابة ٥ - بورتو مارينا




    الشوارع والميادين :
    ميدان جامع مصطفى محمود - المهندسين
    ميدان سفنكس - المهندسين




    للحجز والاستعلام الاتصال على : ٠١٢٢١٣٩٧٧٧


Golf Porto Marina is about to witness the live concert of the superstar Amr Diab at the North Coast on Friday 30th of July

Regular ticket's price is 150 EGP only.",unsure
Marina Joseph & Mayar Ashraf's SURPRISE PARTY :) !,"As well as we know that Marina's Birthday will be 25 July , nd Mayar Ashraf's Birthday was 2 July so we decided to make them Happy :) !
We'll make to them A Surprise Party ..
It will be at Lebanise nights :) !
Monday , July 26 .
We want all of us to wear Simi formal .
 Remember its SURPRISE
None of yu talk with Marina nd Mayar about this .
we'll tell Marina its Mayar's surprise , nd we'll tell Mayar its Marina's Surprise :) !
Thank yuu all .
Reem Hany & Mirette Magid <3 !",attending
