name,about,category
Ali Ghozlan - على غزلان,"Doctor | stand-up comedian | influencer .

For business : ali.ghozlan0@gmail.com",Public Figure
برج العقرب,لاأنجّم ولاأتنبأ بالمستقبل مجرد تحليل شخصيات ♡  ♡,Community
Blue Bus Egypt,Transportation services,Travel Company
Mohamed Aamer,,Actor
Dorra Zarrouk,"Dorra Zarrouk Tunisian Actress performing in Egypt, Middle East & world. 
http://instagram.com/dorra_zarrouk",Artist
Ballerinas of Cairo,"Ballerinas of Cairo bringing Cairo's dance and photography communities together...

Tag #ballerinasofcairo",Performance Art
Plαisir .,"Plaisir non partagé n'est plaisir qu'à moitié , :)",Blogger
STORYTELD,"Stories told, one at a time.",Media/News Company
Ahl Cairo Restaurant,"Ahl Cairo is an oriental cuisine
first Branch is located in London
And the second located here in Cairo
Fettah, Tajin , Grill and more
We’re waiting 4 you�",Restaurant
البُساط - ElBosat,ترشيحات باجمد اماكن الخروج في مصر,Just For Fun
Outlet Zone OR & Daniel Hechter,THE ONLY OFFICIAL FAN PAGE,Clothing Store
Leila & Farah Boat,It's a romantic place over the river Nile view serving an international tasty food. Different of Shisha flavor's and Nonalcoholic cocktail's and drinks.,River
Yasser Galal,,Actor
Mohamed Emam - محمد إمام,"Mohamed Emam's official page on Facebook
صفحة محمد إمام الرسمية على الفيس بوك  ",Actor
سيروتونين ْ -  Serotonin," ""نحن نحب بصدق مرة ونبقى �""",Fictional Character
Egyptian society,Just For Fun,Just For Fun
ABO Halaka shoes,شركة لصناعة الاحذية والبيع بسعر الجملة ,Advertising Agency
LC Waikiki,"
لكل يستحق أن يرتدي ملابس جيدة!

https://www.instagram.com/lcwaikikiegypt/
www.twitter.com/LCWaikiki

",Clothing (Brand)
CLUB ALDO MAADI,,Local Business
طباعة كفر الموبايل,"طباعة على كفر الموبايل, اطبع صور على كفر الموبايل, طباعة صور 4 لون على الكفر, طباعة لوجو أو أشكال على كفر الموبايل",Fashion
Ahmed Zaher,"Ahmed zaher official page 
www.youtube.com/user/ahmedzaherchannel
www.twitter.com/zaherofficial
",Artist
Padova,,Costume Shop
AUC   The American University in Cairo,"Welcome to AUC's social gathering spot for news and conversation.  For the Arabic fan page, visit www.facebook.com/AUCArabic  If you have questions about enrollment or programs, visit our web page at www.aucegypt.edu.",College & University
Remon atef artist,buy the art from the internet,Artist
واضح WADA7,,Entertainment Website
Seekh mashwy - سيخ مشوي,Enjoy the Oriental taste of some of the best Egyptian Cuisine on the Nile,Arabian Restaurant
بتوقيت مصر  BBC Arabic - Egypt MeanTime,برنامج اسبوعي يطرح أهم الأسئلة التي يستقيها فريق البرنامج من الشارع المصري,TV Show
Xperience Egypt,Xperience Hospitality Management,Travel Company
