name,about,category
Engezni - انجزني,انجزني صفحة لأكتشاف احسن اكلات ومطاعم مصر ومكان تشارك فيه خبراتك في الاكل,Community
TOEFL,"Welcome! This is the official TOEFL® Page on Facebook for news, prep, tips and more to help students around the world prepare to take the TOEFL test and study abroad.",Nonprofit Organization
Interesting Engineering,"Interesting Engineering is a cutting edge, leading community designed for all lovers of engineering, technology and science.",Media/News Company
elmenus.com,elmenus is a comprehensive food discovery platform accessible through our website elmenus.com and mobile apps. We help people decide what to eat!,App Page
Primo's Pizza,"مدينه نصر .. 28 مصطفي النحاس بين مكرم و عباس العقاد .
التجمع .. مجمع البنوك .. مول تاون سنتر 106 .
مصر الجديده .. 177 الحجاز بعد ميدان الحجاز.",Pizza Place
ScienceDump,Our intention is to bring back the Fun and Passion into Science.,Science Website
AlQahera AlYoum - القاهرة اليوم,"القاهرة اليوم بشكله وموقعه الجديد وبمذيعيه الجدد، وفقراته الجديدة. 
3 ساعات من الترفيه المباشر، وقضايا الساعة، بشكل عصري وسريع.",TV Show
ISIC Egypt,"Get your ISIC card online! http://www.isicegypt.net/

Twitter: https://twitter.com/IsicEgypt

Instagram: https://www.instagram.com/isicegypt/",Senior Center
ISIC Alexandria,,Organization
7-Second Riddles,"The 7-Second Riddles mission is to be the be the world's most comprehensive riddle place on the internet for riddles, puzzles, rebus caps and quizzes.",Media/News Company
Egyptian Screenshots,شارك معنا وأرسل لنا السكرين شوت الخاصة بك على رسائل الصفحة,Comedian
Science Fans,"Science Fans Page
",Personal Blog
442oons,"⚽The football world - animated!⚽
Full videos👉🏻youtube.com/442oons
⭐Celebrity channel👉🏻facebook.com/Celebri2oons⭐",TV Genre
Alexis Sanchez,Jugador del Arsenal y de la Selección Chilena de Fútbol. / Arsenal and Chilean National team player. Official Account,Athlete
Football News,"Welcome to Football News, posting daily Football content straight to your Newsfeed",Sports
Nesma Abdel Aziz,"This is the official page of Nesma Abdelaziz Band
Booking: info@nesmaabdelaziz.com
Business Manager - Khaled Khorshed: +201114422242
",Performing Arts
Tudo Mundo Food Truck,Truck that offers different fast food with special taste & unique spirit.,Restaurant
Cappuccino Mohammed Hussam - Media,,Blogger
St. Mary & St. Bishoy Church,"كنيسة السيدة العذراء و القديس الانبا بيشوى بالتجمع الخامس - حى النرجس  

ST Mary & ST Bishoy Church/ El narges District & New cairo

",Religious Center
Ask Steve  ستيف هارفي,"برودريك ستيفن ""ستيف"" هارفي [1] (مواليد 17 يناير 1957) ممثل كوميدي ، مؤلف ، منتج أمريكي ، مقدم برامج إذاعية ،",Public Figure
SWOT - Smart Way Of Training,"SWOT 
SMART WAY OF TRAINING 
هى أكاديمية تدريب وأستشارات بمنظور مختلف 
هدفها أنها تقدم تدريب عالى الجودة بالآسلوب الحديث بتكاليف بسيطة مناسبة للجميع ",College & University
LinkedIn Jobs,"This is a volunteering non-profitable page to support all job seekers who are looking for a suitable job, all jobs shared from Linkedin.",Recruiter
Dominoes Code,"Making great Technology Solutions and having fun doing it!
 We are strong believers in our systems which has enormous potential and an amazing market .",Software Company
Faragello Gold,This is the official page for Faragello Gold juice ,Food & Beverage Company
Emma Watson .,,Actor
Arabish - ارابيش,"Arabish was founded in 2015 by Wael Nasr, the band plays Arabic pop songs, their songs mainly talk about the Arab society issues.
",Musician/Band
BreakOut Egypt,"BreakOut™ Egypt's 1st Real Room Escape
For booking & information call: 01210529695
اول و اكبر تجربة اختطاف و هروب في مصر",Escape Game Room
Hyundai i10,,Cars
Costa,"Costa Crociere’s page is a place made of experiences telling the story of a long trip, made of ships, destinations, and above all: emotions.",Cruise Line
Yara,www.youtube.com/OfficialYara  www.instagram.com/yara ,Musician/Band
Cairo Festival City Mall,"This is the official page of Cairo Festival City Mall.
الصفحة الرسمية لكايرو فستيفال سيتي مول",Landmark & Historical Place
AMD, تقوم شركة أيه إم دي بتصميم ودمج التكنولوجيا لتمكين ملايين الأجهزة الذكية. www.amd.com,Product/Service
Chess.com,Play & learn chess with your friends and 16 million members worldwide. Chess.com is the #1 site for online chess. Sign up - it's FREE!,Internet Company
