name,about,category
McDonald's,أهلا بكم على صفحة ماكدونالدز مصر الرسمية,Burger Restaurant
Google,Organizing the world's information and making it universally accessible and useful.,Arts & Entertainment
The Treble Guys,"We are three guys who share one thing in common: passion of music.
Ibram: Guitar - Recorder - Piano - Ukulele
Mina: Piano - Oud
Wassim: Violin - Viola ",Musician/Band
Pizza Hut,أهلاً بك في الصفحة الرسمية لبيتزا هت في مصر. ,Pizza Place
ICPC News,"Official news source for the ICPC, the premiere global programming competition conducted by and for the world’s universities.",Nonprofit Organization
Prof. Dr. Slim Abdennadher,,Public Figure
Magdi Yacoub Heart Foundation,للتبرع: إرسال رسالة الى 9698، الإتصال برقم 19731 ليصلكم مندوبنا، فورى، فودافون كاش، مكاتب هيئة البريد،حساباتنا فى جميع البنوك، او www.myf-egypt.org,Nonprofit Organization
The Insider (GUC),The Insider (GUC) is the first  independent student-run newspaper at the German University in Cairo (GUC). أول جريدة طلابية مستقلة بالجامعة الألمانية بالقاهرة,Media/News Company
GUC Student Union,GUC SU-Power To The Students,College & University
Doritos,دوريتوس هو وجبتك الخفيفة المفضلة المكونة من تورتيلا الذرة، التي ستحول لحظاتك إلى تجربة ممتعة ومدهشة بطعمها الرائع مع شكلها المثلث المميز.,Product/Service
GUC Media Production Center,A media centre to produce high-quality material for the GUC’s various academic and non-academic activities.,Media/News Company
Lilac,"Lilac aims to raise awareness on mental health, mental illnesses and disorders, suggesting different ways on how they should be dealt with by the public.",Community
Egychology - ايجيكولوجي,"ايجيكولوجي تقدم اليكم سلطة العلم بمزيج من التاريخ و الفلسفة و علم النفس. 
وجبة علمية سعيدة. :)
و كالعادة، لازم ننوّر الظلمة. ",Public Figure
Premier League,Welcome to the Official Facebook fan page of the Premier League,Sports League
GUC's Sarcasm Community,Welcome to GUC's Sarcasm Community.,Community
German University in Cairo,,Local Business
Harry Potter,Harry Potter Complete Collection -  https://po.st/3flO1h,Movie
FIFA World Cup,"The Official Facebook Page of the 2018 FIFA World Cup Russia 
www.fifa.com/worldcup",Sports
Egyptian Troll Football,"Against Racism

Follow us on Twitter .. 
twitter.com/Egy_T_F
Follow us on Instagram .. 
instagram.com/egy_t_f 
",Sports
أحمد حلمي Ahmed Helmy,"الصفحة الرسمية
Official Page",Artist
Zamalek SC,"Welcome to the Official Zamalek SC Facebook Page. Keep up to date with the latest news and content, engage with the club and fellow supporters.  ",Sports Team
M&M'S U.S.A.,Welcome to the official M&M’S® U.S.A. Page. This is the place on Facebook where you can talk about (and occasionally to) your beloved M&M’S Brand Spokescandies.,Food & Beverage Company
سامح حسين Sameh Hussein,"Sameh Hussein Official Page
",Artist
فاصل مش إعلامى,"Official YouTube : http://www.youtube.com/FasilMoshI3lami
Official Twitter : http://twitter.com/Mazharizm
instagram :http://instagram.com/fasilmoshi3lami
",TV Show
Life at Orange Egypt,Get to know what it's like working at a Top Employer!,Telecommunication Company
Cadbury Dairy Milk,"Cadbury Dairy Milk (CDM) was launched in 1905 and became an instant success in the UK.It is also an international favourite, enjoyed by millions of people ",Product/Service
Quiksilver,"Life on the mountain. Life on the wave. And the all good spaces in between.
",News & Media Website
Olympic,"Excellence Friendship Respect, excellence amitié respect",Sports League
iTunes,"Join the pop culture conversation. Find exclusive offers. Learn about the movies, TV shows and podcasts that we love.  http://itunes.apple.com/store ",Product/Service
Barn Buddy,"Look after your friends' farms and grow some crops together! Or be naughty, steal their crops and add bugs and weeds to their farms. Play the best looking farm game on Facebook, with lots of animated animals to take care of!",Games/Toys
Céline Dion,,Musician/Band
Omar Samak,,Musician/Band
Bleacher Report Football,"Official Facebook Page of bleacherreport.com/world-football
B/R App: bleacherreport.com/mobile",Media/News Company
Unleashed,,Personal Blog
Liverpool FC,صفحة نادي ليفربول العربية الرسمية في فيسبوك,Sports Club
أحمد مالك - Ahmed Malek,"Ahmed Malek's Official Page

Ahmed Malek Mostafa is an Egyptian actor (born 29 September 1995) , He is best known for his role as the young ""Hassan El-bana",Artist
WeeQuizz En,,Community
Shoptizer,"Shoptizer is a platform marketplace that enables Egyptian handmade, designers and business to sell unique products for attentive buyers around the world.",E-commerce Website
The IG Club,"Bridging IGians Together - The IG Club  provides academic counselling, educational services and student development & entertainment programmes to British Schools Students in Egypt.",Education
Alahram Auto,"الصفحة الرسمية لموقع الاهرام أوتو  
الموقع الاول للسيارات فى مصر والوطن العربى
Al-Ahram Auto

http://auto.ahram.org.eg/

Cars, Automobile , Auto",Entertainment Website
Sara Magdy Ali,"This is the official page of Sara Magdy Ali.
Mathematics teacher for OL, AS & A2 for Edexcel and Cambridge and Further Mathematics teacher for Edexcel.
",Teacher
صباحو كورة - Saba7o Korah,"www.Instagram.com/Nsoo7y
www.Twitter.com/Nsoo7y
www.Youtube.Com/Saba7oKorah
",TV Show
Total Africa Cup of Nations,The OFFICIAL page of CAF national teams competitions / La page OFFICIELLE des compétitions nationales CAF. ,Sports Event
Father Dawood Lamey Sermons,"www.frdawoodlameysermons.com
صفحة خاصة بكل محبي القمص داود لمعي..
*وهده ليست الصفحة الرسمية له..

الصفحة الرسمية

http://bit.ly/FrDaoudOffPage",Education Website
مركز النور الحقيقي للدراسات القبطية الأرثوذكسية," «أنا هو نورُ العالَمِ. مَنْ يتبَعني فلا يَمشي في الظُّلمَةِ بل يكونُ لهُ نورُ الحياةِ».”
‮‮يوحَنا‬  ٨ : ٢١",Religious Organization
القاهرة والناس,  القاهرة والناس... أجرأ قناة في مصر... أهلا بكم في العاصمة http://www.alkaherawalnas.com   Frequency: 11765 - Polarization: Horizontal- Symbol Rate: 27500,TV Channel
برنامج/ مع ابراهيم عيسى,ستنتهى جماعاتكم وسيبقى الدين .. وستندثر أحزابكم وسيبقى الوطن !!,Journalist
Nick Vujicic,"Best-selling author, motivational speaker & evangelist—empowering people worldwide with his story & messages of hope.",Public Figure
UEFA EURO 2020,,Sports League
FC Basel 1893,Website: www.fcb.ch; Kontakt: redaktion@fcb.ch,Sports Team
كنيسة العذراء و القديس اثناسيوس مدينة نصر,,Assemblies of God
Travista,"Grab your suitcase, start packing, and Get ready to enjoy the world !",Travel Agency
yesHEis,An App that sets out to empower Christians to share the love of Jesus online! Making a difference. Impacting lives. Inspiring an authentic movement.,Nonprofit Organization
1Africa,"1Africa is a progressive African platform that exists to explore the culture, faith and lifestyle issues of Africa.",Website
Sahara International School,"Sahara is a 25 years educational institution which offers an outstanding level of British Education, located at the heart of Cairo.",School
Arsenal,Welcome to the official Facebook page of Arsenal Football Club.,Sports Team
Microsoft Edge,"Go beyond browsing with Microsoft Edge, the new browser from Microsoft.",Computer Company
Dunkin' Donuts EG,"Dunkin' Donuts is an all-day, everyday stop for coffee and baked goods, and this page is dedicated to celebrating the millions of DD fans around the world.",Coffee Shop
Frozzy twist,We are the first to introduce the concept of fresh Ice cream rolls and the luxury of letting our customers choose their own taste in Egypt.,Ice Cream Shop
AS Roma,"نادي روما الرياضي، فريق كرة قدم في الدوري الإيطالي للمحترفين | للتذاكر الموسمية: 
http://www.asroma.it/it/biglietti/abbonamenti_info.html",Professional Sports Team
AbdelFattah Elsisi - عبد الفتاح السيسي,"الصفحة الرسمية للرئيس/عبدالفتاح السيسي 
رئيس جمهورية مصر العربية ",Public Figure
Mohamed Koffi,"Name: Mohamed Koffi
Club: Al-Masry 
Position: Center-back & midfielder & right back
Place of birth: Abidjan , Côte d'Ivoire
Nationality: Burkina faso
",Athlete
University of Cambridge,"Official Facebook page for the University of Cambridge

Study at Cambridge: www.study.cam.ac.uk

Information about scholarships: www.cambridgetrust.org/scholarships",School
Cambridge Assessment International Education,"We prepare school students for life, helping them develop an informed curiosity and a lasting passion for learning.",School
الكوره مش مع عفيفى,"Official Page 
https://twitter.com/Ahmed1Afify
https://twitter.com/kanzaman_4my
http://www.youtube.com/channel/UCK0kVPLzSKlwSZcxLhHm6Ig",TV Show
The Football Feed,"Welcome to The Football Feed, posting daily Football content straight to your newsfeed.",Media
صفحة دعم الدكتور ايهاب داوود العالم المصرى الشاب,,Doctor
شريطة سوده,"توعية للمواطن من أجل الحفاظ على حياته وحياة الاخرين.والتدخل عالي الكثافة بوسائل الإعلام للحد من نزيف ""الأسفلت""  الذي يطارد المصريين.",Community Organization
إضراب الألمانية,"الصفحة الرسمية لإضراب طلبة الجامعة الألمانية 
GUC Strike Official Page  ",Community
British Council Egypt,"The British Council is the UK’s international organisation for cultural relations and educational opportunities. We create friendly knowledge and understanding between the people of the UK and other countries.
",Education
Diamond Zone,"Diamonds are the small pieces of stars that last forever
At Diamond Zone you can design your own pieces that last forever.
",Jewelry & Watches Store
Heba Fathi Ghobrial - IGCSE English,"Heba Fathi Ghobrial
www.hebafathi.com",Teacher
Souq.com,"Welcome to the official fan page of Souq.com Egypt
أهلاً بكم في الصفحة الرسمية لـ سوق.كوم مصر على الفيسبوك",Shopping & Retail
Laila Stino's Writings,قلمي هو صاحبي ..بيعبر عن كل اللي جوايا .. بيترجم مشاعري  لكلمات  و حروف ..  .. أنا حياتي في انبوبة قلم و حبرها كلماتي اللي عمرها ماهتجف  :),Community
Elissa,Intl. Lebanese artist. Global awards winner. Rooted in #Mawtini. Women’s rights advocate #Yamrayti. Love/Live my fans/music album #Saharnayaleil,Artist
Film Streaming Téléchargement Gratuit,#lechasseuretlareinedesglacesstreaming,Community
Behind Closed Doors,"A selection of short stories about people of Egypt;their suffering, their triumphs, and their joys.",Book
Chelsea FC,أهلا بكم في الصفحة الرسمية لنادي تشيلسي على الفيسبوك,"Stadium, Arena & Sports Venue"
Dr. El Mostafa Higazy د. مصطفى حجازي,"
الصفحة الرسمية للدكتور مصطفى حجازي المستشار السياسي و الاستراتيجي السابق لرئاسة جمهورية مصر العربية   
Founder of NASAQ Foundation for Strategic & Humanistic Thinking",Public Figure
لوجوهات وآيات, آيات .. ترنيمات .. لوجوهات .. شذرات .. صلوات,Religious Organization
تمرد,تمردوا فأن الأرض تحني رأسها للمتمردين | انت الأن علي الصفحه الرسميه لـ حملة تمرد ,Organization
B+ Bassem Youssef Show,,TV Show
IGCSE Egypt,IGCSE Egypt launched 3rd of March with the main goal to entertain and provide support for IGians around Egypt. ,Education
البرنامج؟,,TV Show
الصفحة الرسمية لبرنامج هنا القاهرة مع إبراهيم عيسى,الصفحة الرسمية لبرنامج «25/30» من تقديم الصحفي الكبير إبراهيم عيسى,TV Show
Shopping From Amazon to Egypt,"Now you can buy whatever you want from USA!!

01211187461
01211187453",Shopping & Retail
A Verse for Today,A daily verse to provide encouragement. ,Community
Maltesers UK,"Welcome to the official Facebook Page for MALTESERS® in the UK. ®TM Maltesers, Trademark of Mars Incorporated and its affiliates.",Food & Beverage Company
التيار الشعبي المصري,,Political Organization
Coca-Cola,The Coca-Cola Facebook Page is a collection of your stories showing how people from around the world have helped make Coke into what it is today.,Food & Beverage
Football,,Sports
Egypt's Sarcasm Society.,Egypt's #1 humor portal; gathering people through their sense of humor since 2009. http://www.ESS.mx,App Page
