"who redeems your life from the pit
    and crowns you with love and compassion,
who satisfies your desires with good things
    so that your youth is renewed like the eagle’s. psalm 103

ٱلَّذِي يَفْدِي مِنَ ٱلْحُفْرَةِ حَيَاتَكِ. ٱلَّذِي يُكَلِّلُكِ بِٱلرَّحْمَةِ وَٱلرَّأْفَةِ. 5ٱلَّذِي يُشْبِعُ بِٱلْخَيْرِ عُمْرَكِ، فَيَتَجَدَّدُ مِثْلَ ٱلنَّسْرِ شَبَابُكِ.",below,2175355995824173_1947266085299833,2017-10-06T21:24:34+0000
below,Joyce Tawfik shared Shuffle Sketch's post.,2175355995824173_1940974002595708,2017-10-01T00:14:05+0000
below,Joyce Tawfik shared Inspire To Be's post.,2175355995824173_1939178376108604,2017-09-29T08:31:33+0000
below,Joyce Tawfik shared Bible Verses's post.,2175355995824173_1938837456142696,2017-09-28T23:29:49+0000
below,"Joyce Tawfik shared "" English Quotes ""'s post.",2175355995824173_1929679023725206,2017-09-19T22:01:36+0000
below,Joyce Tawfik shared Roadtrip's photo.,2175355995824173_1927866783906430,2017-09-18T00:36:18+0000
below,Joyce Tawfik shared ‎اجتماع صلاه‎'s event.,2175355995824173_1927503167276125,2017-09-17T16:23:56+0000
below,Joyce Tawfik shared • Another World •'s post.,2175355995824173_1925769804116128,2017-09-15T23:50:11+0000
below,Joyce Tawfik shared Olympic's video.,2175355995824173_1922019994491109,2017-09-12T09:33:40+0000
below,Joyce Tawfik added a new photo — at Shaffhuussee.,2175355995824173_1920672804625828,2017-09-10T22:19:41+0000
below,Joyce Tawfik shared Kenonia's post.,2175355995824173_1917946501565125,2017-09-08T05:54:04+0000
below,Joyce Tawfik shared Roadtrip's photo.,2175355995824173_1914730108553431,2017-09-05T01:14:03+0000
https://soundcloud.com/mark-naguib/jwbseeonbbce,below,2175355995824173_1911287898897652,2017-09-01T19:11:44+0000
Eid Mubarak kol sana wento tayeben 💫🎉🎊🎈,below,2175355995824173_1911214835571625,2017-09-01T17:40:00+0000
below,Joyce Tawfik shared Rollercoaster's post.,2175355995824173_1895670813792694,2017-08-18T00:15:36+0000
below,Joyce Tawfik shared a memory.,2175355995824173_1892721417420967,2017-08-15T06:56:55+0000
below,Joyce Tawfik shared Eric Stanley's post.,2175355995824173_1889658837727225,2017-08-12T14:29:42+0000
below,Joyce Tawfik shared A Plus's video.,2175355995824173_1871984246161351,2017-07-27T21:24:15+0000
A day to remember <3,"Joyce Tawfik is with Sally Habib and 4 others in Alexandria, Egypt.",2175355995824173_1863561030337006,2017-07-21T00:49:48+0000
"وعظة أبونا داود لمعى : ازاى متخسرش حد فى حياتك : 7 ت
1- توقع الغضب من اللى قدامك و دى حرب متكررة من الشيطان .
2- تقبل النقد بكل أشكاله .
3- تمسك بالصمت العاقل .
4- تنازل فى الكرامة و المادة .
5- تحمل ضعفات من حولك .
6- تناسى الإساءة .
7- تسلح بالصلاة و الإنجيل .",below,2175355995824173_2161860850507021,2018-04-03T12:00:15+0000
Every Experience is part of his divine plan Merna Michel,Joyce Tawfik shared JCLU Forever's photo — with Sally Habib.,2175355995824173_2132991156727324,2018-03-11T14:09:28+0000
"It's not how much we give but how much love we put into giving.""Mother Teresa""",below,2175355995824173_2132864240073349,2018-03-11T11:56:51+0000
"""The weak can never forgive. Forgiveness is the attribute of the strong.""Mahatma Gandhi",below,2175355995824173_2131658523527254,2018-03-10T15:28:37+0000
Happy Birthday zozo ❤❤,Joyce Tawfik is with Sally Habib.,2175355995824173_2100479076645199,2018-02-14T13:22:56+0000
below,Joyce Tawfik added 3 new photos — with Youssef Ashraf and 12 others.,2175355995824173_2089619527731154,2018-02-05T17:56:35+0000
below,Joyce Tawfik added 6 new photos — with Sally Habib and 10 others.,2175355995824173_2089616467731460,2018-02-05T17:54:27+0000
below,Joyce Tawfik added 7 new photos — with Sally Habib and 16 others.,2175355995824173_2089608714398902,2018-02-05T17:47:48+0000
below,Joyce Tawfik added 3 new photos — with Sally Habib and 8 others.,2175355995824173_2089604337732673,2018-02-05T17:43:31+0000
below,Joyce Tawfik added 3 new photos — with George Nabil and 4 others.,2175355995824173_2089600631066377,2018-02-05T17:39:41+0000
below,Joyce Tawfik added 3 new photos — with David Maged Awad and 5 others.,2175355995824173_2089597544400019,2018-02-05T17:36:41+0000
below,Joyce Tawfik added 3 new photos — with Mariam Sobhy and 4 others.,2175355995824173_2089595087733598,2018-02-05T17:34:32+0000
below,Joyce Tawfik shared Ballet Clássico's post.,2175355995824173_2064709593555481,2018-01-16T15:09:10+0000
"لست ادري ما يكون من حياتي في الغد 
اعلم شيئا يقينا ربي ممسك يدي",below,2175355995824173_2062806293745811,2018-01-14T21:52:31+0000
below,Joyce Tawfik shared ‎أقوال و عظات أبونا داود لمعي‎'s post.,2175355995824173_2062469487112825,2018-01-14T15:17:48+0000
below,Joyce Tawfik shared a link.,2175355995824173_2047764101916697,2018-01-02T13:15:50+0000
below,Joyce Tawfik shared ‎أقوال و عظات أبونا داود لمعي‎'s photo.,2175355995824173_2044845762208531,2017-12-31T09:11:46+0000
"https://youtu.be/CBDgLL2de_c

You're focusing on the problem. If you focus on the problem, you can't see the solution. Never focus on the problem!

See what no one else sees. See what everyone chooses not to see... out of fear, conformity or laziness. See the whole world anew each day!",below,2175355995824173_2039137992779308,2017-12-26T03:45:06+0000
